,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
0,○,líng,ling,2,"['character used in Taiwan as a substitute for a real name (like ""X"" in English)']","[{u'ch': '\xe3\x80\x87', u'py': 'ling2', u'chs': '\xe3\x80\x87', u'vartype': ''}]",[]
1,⺮,zhú,zhu,2,"['""bamboo"" radical in Chinese characters (Kangxi radical 118)']",[],[]
2,〇,líng,ling,2,['zero'],[],[]
3,〡,yī,yi,1,['numeral 1 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
4,〢,èr,er,4,['numeral 2 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
5,〣,sān,san,1,['numeral 3 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
6,〤,sì,si,4,['numeral 4 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
7,〥,wǔ,wu,3,['numeral 5 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
8,〦,liù,liu,4,['numeral 6 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
9,〧,qī,qi,1,['numeral 7 in Suzhou numeral system \xe8\x98\x87\xe5\xb7\x9e\xe7\xa2\xbc\xe5\xad\x90|\xe8\x8b\x8f\xe5\xb7\x9e\xe7\xa0\x81\xe5\xad\x90[Su1 zhou1 ma3 zi5]'],[],[]
